,ref_id,features,target
0,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.15785263157894738, 0.2142857142857143, 0.02941176470588236, 1, 1, 1.0, 1, 0, 0.0, 0, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.15555555555555556, 1, 1, 1, 0.2857142857142857, 0, 0, 1, 0.2857142857142857, 0, 0, 0, 0, 1, 0.15555555555555556, 0, 1, 1, 0.0044444444444444444, 0, 0]",False
1,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.08065945945945946, 0.1428571428571429, 0.12650602409638556, 1, 0, 0, 1, 0, 0.0, 0.8831, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.002380952380952381, 0, 0, 0, 0, 0, 0, 1, 0.17647058823529413, 0, 0, 1, 0.002162162162162162, 1, 1]",False
2,f1_1002358,"[0, 0, 0, 0, 0.994, 0, 0, 0, 0, 0, 0.13312666666666667, 0.1428571428571429, 0.0490196078431373, 1, 0, 0, 1, 0, 0.0, 0.44155, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.2692307692307692, 0, 1, 1, 0.09375, 0, 0, 1, 0.09375, 0, 0, 0, 0, 1, 0.2692307692307692, 0, 1, 1, 0.015384615384615385, 1, 1]",False
3,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.26585333333333333, 0.2142857142857143, 0.0980392156862745, 1, 0, 0, 1, 1, 0.0, 0, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.28, 0, 1, 1, 0.17647058823529413, 1, 0.00816326530612245, 1, 0.17647058823529413, 0, 0, 0, 1, 1, 0.28, 0, 1, 1, 0.008, 0, 1]",False
4,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.11579411764705883, 0.0714285714285714, 0.02941176470588236, 1, 1, 1.0, 1, 1, 0.0, 0.44155, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.15, 1, 1, 1, 0.08823529411764706, 0, 0, 1, 0.08823529411764706, 1, 0.1, 0, 1, 1, 0.15, 1, 1, 1, 0.006666666666666667, 0, 1]",False
5,f1_1002358,"[1, 1, 1, 1, 0.994, 1.0, 1.0, 1.0, 1.0, 0.994, 0.04165, 0.0, 0.009803921568627416, 1, 1, 1.0, 1, 1, 0.0, 0.44155, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.041666666666666664, 1, 1, 1, 0.09523809523809523, 0, 0, 1, 0.09523809523809523, 1, 0.03636363636363636, 0, 1, 1, 0.041666666666666664, 1, 1, 1, 0.004201680672268907, 0, 1]",False
6,f1_1002358,"[1, 1, 1, 1, 0.994, 1.0, 1.0, 1.0, 1.0, 0.994, 0.7655538461538463, 1.0, 1.0, 1, 1, 1.0, 1, 1, 0.9988, 0.44155, 1, 0, 1, 0.0, 0.0, 0.0, 1, 1.0, 1, 1, 1, 0.8787878787878788, 0, 0, 1, 0.8787878787878788, 0, 0, 1, 1, 1, 1.0, 1, 1, 1, 0.0038461538461538464, 0, 1]",True
7,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.11032777777777777, 0.1428571428571429, 0.0490196078431373, 1, 0, 0, 1, 0, 0.0, 0.8831, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0.0125, 0, 0, 0, 0, 0, 0, 1, 0.13043478260869565, 0, 0, 1, 0.007272727272727273, 1, 1]",False
8,f1_1002358,"[0, 0, 0, 0, 0.994, 0, 0, 0, 0, 0, 0.18745, 0.2142857142857143, 0.13725490196078427, 1, 0, 0, 1, 0, 0.0, 0, 0, 0, 1, 0, 0, 0, 1, 0.2777777777777778, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.2777777777777778, 0, 0, 1, 0.007407407407407408, 0, 0]",False
9,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.18745, 0.2142857142857143, 0.13725490196078427, 1, 0, 0, 1, 0, 0.0, 0, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.5, 0, 1, 1, 0.0967741935483871, 0, 0, 1, 0.0967741935483871, 0, 0, 0, 0, 1, 0.5, 0, 0, 1, 0.013333333333333334, 0, 1]",False
