used_keys,combination
"(""'author'"", ""'doi'"", ""'number'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'author'"", ""'number'"", ""'year'"")",[]
"(""'author'"", ""'doi'"", ""'number'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'year'"")",[]
"(""'journal'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'journal'"", ""'number'"")",[]
"(""'pages'"", ""'year'"")",[]
"(""'number'"", ""'pages'"")",[]
"(""'author'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'journal'"", ""'number'"", ""'year'"")",[]
"(""'author'"", ""'pages'"", ""'year'"")","[['""\'author\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"")","[['""\'doi\'""', '']]"
"(""'doi'"", ""'title'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'number'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'number'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'doi'"", ""'number'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""']]"
"(""'number'"", ""'title'"")","[['""\'number\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'journal'"", ""'year'"")",[]
"(""'author'"", ""'journal'"", ""'number'"", ""'pages'"")","[['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'title\'""']]"
"(""'author'"", ""'number'"", ""'pages'"")","[['""\'author\'""', '""\'pages\'""']]"
"(""'journal'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'number'"", ""'pages'"", ""'year'"")",[]
"(""'doi'"", ""'journal'"", ""'number'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'doi'"", ""'journal'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'journal'"")","[['""\'doi\'""', '']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""']]"
"(""'year'"",)",[]
"(""'doi'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""']]"
"(""'doi'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'journal'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'journal'"")",[]
"(""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'journal'"", ""'pages'"", ""'year'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""']]"
"(""'journal'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'title'"")","[['""\'author\'""', '""\'title\'""']]"
"(""'journal'"", ""'pages'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'number'"", ""'title'"")","[['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'doi'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'author'"", ""'journal'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'doi'"", ""'journal'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'number'"")","[['""\'doi\'""', '']]"
"(""'journal'"", ""'number'"")",[]
"(""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'doi'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'doi'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'journal'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'number'"")",[]
"(""'author'"", ""'doi'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'journal'"", ""'title'"")","[['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'doi'"", ""'number'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'doi'"", ""'journal'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'title\'""']]"
"(""'number'"", ""'year'"")",[]
"(""'author'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'journal'"", ""'number'"", ""'title'"")","[['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""'], ['""\'author\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'journal'"", ""'year'"")","[['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'author'"", ""'journal'"", ""'pages'"")","[['""\'author\'""', '""\'pages\'""'], ['""\'journal\'""', '""\'pages\'""']]"
