Id_ref,author_name,hash_values,norm_title_str,years
Bernstein1994,"[u'bernstein', u'l', u'henderson', u'be', u'hanisch', u'r', u'sullivanhalley', u'j', u'ross', u'rk']","[123958211, 220911830, 79162453, 54827463, 93132520, 76410037, 91267116, 132504170, 91549750, 16781049, 30935519, 37497648, 79748321, 114078990, 2876276, 68889774, 72909377, 170461492, 61490318, 29902839, 176100480, 59703720, 34752021, 18074891, 42698225, 10123539, 14324541, 84283560, 8608420, 146144060, 31613492, 66505787, 24141758, 10634825, 123865666, 21525001, 32389227, 73542176, 15498386, 104348680, 27054502, 61141720, 31927900, 88433747, 209551734, 7664081, 4988652, 45933551, 38732693, 28855749, 341182, 48639997, 165446921, 31317518, 25690442, 124352110, 15918405, 171161660, 219802464, 58186263, 9256321, 224898485, 215758929, 122655247, 100391926, 27480817, 17473067, 54931567, 101905360, 188319360, 164632390, 9342696, 45612283, 24906987, 32129913, 18136152, 28917499, 25613497, 19621126, 31234338, 12555896, 84449274, 239689, 24503401, 56827133, 13276971, 61425760, 51650851, 51414748, 105466000, 11937896, 52922906, 32825262, 89049917, 6064973, 157467792, 322591227, 4703063, 143003054, 35168392, 9270915]",physicalexerciseandreducedriskofbreastcancerinyoungwomen,[u'1994']
Festinger1957,"[u'festinger', u'l']","[30905367, 403947672, 363896924, 433269281, 129259464, 378011008, 154105015, 14709359, 172185373, 126085204, 29436663, 207812742, 66071916, 83183504, 194860531, 29358132, 80830609, 291202048, 55219034, 153488381, 331077784, 98926546, 18322167, 308047321, 12028224, 217586234, 85979667, 207362441, 207479770, 36300313, 308335669, 52095633, 23596468, 453858899, 720386, 119509994, 80292269, 73045275, 39729099, 405588500, 273896687, 8934718, 397859852, 11892326, 274673424, 702489, 3403107, 6392239, 135093957, 149205882, 549542176, 204964875, 19023757, 57541159, 101120813, 379822902, 89216386, 122326852, 58595112, 222426984, 252138156, 47857755, 96874724, 113251930, 31221068, 60746069, 31595693, 95779979, 18781869, 124056937, 29412817, 237426034, 31349563, 324812309, 112014461, 87380380, 123490257, 362229017, 128833156, 96002656, 20170017, 5075701, 324307236, 10952286, 108480826, 95374622, 71523822, 333530228, 370036252, 226889764, 34098423, 254206969, 216243048, 121559151, 323889721, 420482857, 138692600, 7142922, 160365126, 6897806, 95707419]",atheoryofcognitivedissonance,[u'1957']
Cornwall1991,"[u'cornwall', u'mw', u'murrell', u'p']","[133120179, 6333515, 238672114, 42185866, 6591931, 242946067, 80964843, 153775187, 42766408, 4522102, 275559111, 116553837, 378263, 44546375, 43947233, 193615695, 2366709, 48640908, 57590235, 264367915, 104696078, 64975883, 15925053, 90520936, 150632667, 30277225, 129538818, 6589799, 94762929, 42843580, 8355796, 52095633, 16690930, 21905763, 194603742, 160724554, 33059997, 84912752, 59192210, 35056228, 29423341, 61141720, 307186100, 15442024, 30279648, 106068418, 17345006, 40637814, 197367403, 28093444, 4863958, 58727939, 19059788, 38845026, 58958129, 47826253, 28280566, 176526098, 112099893, 95474172, 39358719, 172034033, 117754196, 80940674, 28249768, 143752059, 1634422, 98081714, 138492079, 75579665, 37261770, 29358603, 331789069, 24906987, 130970729, 5073295, 148527252, 246628487, 70159996, 30120155, 16957731, 155018273, 36913856, 2399104, 113951412, 63968863, 68037760, 122117089, 5133382, 40715951, 4524170, 45781119, 1888738, 161392947, 28147295, 195551369, 15720300, 105769672, 26597121, 70754867, 57502717]",posturalswayfollowinginversionsprainoftheankle,[u'1991']
Unknown,[],"[2532620120L, 1823266722, 672827268, 3168707182L, 449862633, 1752437578, 1338553302, 3562237102L, 1024507214, 563894127, 419352005, 2783849903L, 3843377847L, 3555132345L, 1406621623, 408707075, 3909298107L, 3862581511L, 3769717224L, 235532101, 1106516002, 951839703, 1100434570, 152754231, 4078981599L, 2719429094L, 1395472910, 1217691373, 3610905407L, 2384223776L, 1450351156, 228012494, 1161997882, 366809294, 3885178364L, 727766784, 2269065184L, 2249464157L, 2121256203, 943370642, 3707668606L, 2041702362, 554408648, 4191937955L, 3359330521L, 4107912309L, 2073060168, 1582227819, 1506588602, 1890766471, 124411243, 3726480874L, 4060393060L, 1160557206, 1103521498, 2597064371L, 2581799789L, 5831354, 3488335734L, 3958248242L, 2372739879L, 3458878945L, 104039090, 3130052194L, 867375519, 12979930, 529046633, 3762385090L, 2255654677L, 1808143744, 3157471762L, 2161641934L, 1122293021, 438335437, 1622594343, 1578229609, 306975754, 1078365345, 239336544, 933271453, 181421766, 3675182385L, 3276772763L, 4109570641L, 117522274, 3836620104L, 469926412, 806912994, 1832140134, 1889555904, 2984924611L, 3654815447L, 1238147996, 2835516183L, 3250844973L, 1928387670, 3869856700L, 398404281, 3658834755L, 3235331487L, 991064236]",,[]
Young2000,"[u'young', u'k', u'j']","[77449877, 269668276, 294738321, 54827463, 64604325, 123028592, 621259053, 270617840, 329969129, 199355458, 44807719, 166796921, 95923895, 291038439, 27207, 424222348, 480693098, 414891738, 64434883, 308534016, 537614734, 260241335, 225342900, 567829069, 472427310, 521885600, 920155266, 49681162, 340084449, 78694753, 525471743, 52095633, 114596537, 461192166, 26049192, 156166316, 78410463, 146784386, 39729099, 163305505, 255332080, 23873727, 21759114, 653508205, 29840793, 297306399, 565719715, 89786199, 55544095, 481383839, 85726133, 69039575, 89840012, 63960604, 4728633, 201453859, 891952845, 22436118, 58595112, 39910615, 238067659, 500645257, 488883640, 40891061, 685337027, 206044563, 558924616, 134711879, 458604262, 245104761, 653569804, 1243554, 97355371, 32274913, 43754256, 65146524, 386046378, 27216502, 64197903, 467230603, 194512705, 585529071, 84780642, 246911648, 234886890, 95374622, 486203420, 191491446, 192893728, 748279301, 68624604, 242660129, 79557209, 361178522, 296680234, 208104532, 309704778, 589559682, 8255825, 359243045, 524548509]",sportandviolence,[u'2000']
Kapelyushnikov2003,"[u'kapelyushnikov', u'r']","[74807159, 342847226, 233716061, 93286417, 76860104, 48832161, 173152744, 4889722, 109444576, 6698837, 76319669, 129869581, 63978897, 64251727, 41972319, 3580234, 149548529, 89291298, 57182466, 17983218, 13468266, 217111229, 81326629, 23554678, 10185248, 59832935, 14324541, 73445212, 59386223, 363035755, 101376366, 118988312, 23812925, 6150159, 30624788, 88542772, 115832899, 26091000, 15498386, 257020233, 7967421, 79141260, 65372595, 54238750, 73172463, 24815192, 8378964, 100439418, 50016697, 2652625, 11043459, 103193568, 44931611, 7735968, 89107687, 47826253, 26320493, 117288897, 112099893, 150046566, 21611626, 48305471, 25625038, 103454883, 68516304, 3842528, 65438231, 3139307, 149987924, 55672775, 58500284, 68517304, 40412548, 60559820, 81212435, 11491612, 81854725, 15867329, 56194869, 76627220, 23629490, 118290851, 118693837, 17777752, 93889610, 107688442, 80303542, 9851253, 873107, 164270909, 11937896, 14234212, 60400287, 40368922, 14627005, 119943446, 53739126, 61506687, 18361492, 74470970, 26969424]",themechanismsofwageformationintherussianmanufacturingsector,[u'2003']
Foley2004,"[u'foley', u'dl', u'pickles', u'a', u'rutter', u'm', u'gardner', u'co', u'maes', u'hh', u'silberg', u'jl', u'eaves', u'l']","[17671448, 43227132, 18921097, 29488442, 64230630, 2858579, 49004828, 23159389, 95509255, 16781049, 8533101, 27973288, 8701684, 58080496, 43947233, 5578977, 39158910, 105928793, 78278374, 30007277, 68876543, 123175248, 23556051, 24954327, 10185248, 20009332, 2768091, 2419857, 30124218, 2008857, 1256419, 39799291, 74886004, 1940054, 122737095, 11193636, 12272932, 18226563, 74131977, 2585871, 1758155, 8934718, 802597, 11892326, 60442033, 7664081, 13780188, 89126432, 88142909, 30999615, 680576, 85554003, 42509197, 12640631, 14822903, 41235737, 52385824, 44159834, 3640821, 140768592, 135879493, 22467737, 96874724, 27084449, 16774733, 14445402, 60039234, 63503267, 18781869, 38151628, 4617971, 10423003, 6982821, 15631409, 643932, 20087107, 71317996, 25613497, 86744595, 30120155, 35851315, 5075701, 5639670, 2399104, 57922748, 80884337, 89092110, 9851253, 104506597, 85757216, 179744, 36166584, 170883467, 17775125, 6064973, 12572636, 11664166, 7142922, 33086064, 6897806, 21552183]",risksforconductdisordersymptomsassociatedwithparentalalcoholisminstepfatherfamiliesversusintactfamiliesfromacommunitysample,[u'2004']
Bachanas2002,"[u'bachanas', u'pj', u'morris', u'mk', u'lewisgess', u'jk', u'sarettcuasay', u'ej', u'flores', u'al', u'sirl', u'ks']","[47151825, 60066837, 4494030, 42185866, 6693115, 21135271, 76149359, 16777042, 17868557, 16781049, 6679376, 37497648, 15638613, 36199707, 122844316, 29625009, 14057055, 85819009, 46110392, 12711327, 31771758, 9248049, 86391157, 28881285, 43605880, 6939191, 14324541, 30383413, 36394116, 28466214, 51562168, 52095633, 49874548, 209325479, 53240030, 15216666, 27394751, 53668908, 13634591, 45457566, 139495223, 61141720, 16307340, 31444980, 29840793, 36501915, 15758873, 3921674, 2845146, 18476929, 46610360, 103193568, 38468327, 13778578, 31952037, 3473424, 53914692, 29371349, 48394549, 39161355, 210879, 18292563, 49321869, 716937, 75272835, 24438834, 19123175, 45312880, 1043786, 83649926, 14193185, 1243554, 6982821, 24906987, 643932, 65146524, 1591391, 33981664, 4311414, 24918145, 16423864, 20708843, 9782967, 22207132, 79856990, 93633862, 85255626, 172962020, 50937247, 1090313, 11937896, 35248707, 18177095, 34586198, 54522134, 43822741, 113464579, 4703063, 8255825, 7593470, 37516880]",psychologicaladjustmentsubstanceusehivknowledgeandriskysexualbehaviourinatriskminorityfemalesdevelopmentaldifferencesduringadolescence,[u'2002']
Bray1993,"[u'bray', u'j', u'berger', u's']","[42195780, 54810552, 25391853, 29488442, 50373300, 2858579, 49004828, 176411656, 109444576, 77177812, 35420714, 27973288, 66071916, 125936349, 117451060, 5578977, 55865237, 48640908, 17607078, 56129847, 26100740, 12419247, 15990531, 151210828, 37240650, 6231731, 6732564, 9991921, 9227529, 15725716, 84574746, 33415546, 34838285, 32487019, 18577100, 15216666, 19442113, 65369212, 170588397, 2585871, 5664417, 3563493, 9187178, 12178637, 66149591, 13897346, 87052570, 81207582, 172251224, 6494691, 13166349, 60283280, 38468327, 24358128, 40700591, 161854808, 2260346, 19127080, 191896454, 19376565, 191726695, 36657563, 52781287, 70867339, 38226822, 145158491, 169115751, 79212257, 1043786, 77882398, 31407980, 10423003, 6982821, 11806073, 5187889, 65379229, 62696877, 28351760, 19621126, 55670011, 169693394, 108908206, 5639670, 22324548, 10514164, 70529981, 16296790, 9851253, 20042479, 20851018, 17270430, 35248707, 56274507, 10025313, 2280032, 5311745, 173233042, 12372030, 18361492, 35168392, 14261827]",developmentalissuesinstepfamiliesresearchprojectfamilyrelationshipsandparentchildinteractions,[u'1993']
Goyder2000,"[u'goyder', u'e', u'barrat', u'a', u'irwig', u'lm']","[42195780, 99343914, 25391853, 54827463, 44754675, 25843579, 63078324, 20854856, 266588946, 94182288, 31459200, 194364400, 25370791, 136131633, 12649602, 87889209, 31376421, 87344009, 17607078, 167253815, 139216482, 65506437, 34634062, 169954867, 44432011, 18303369, 23697528, 65064590, 51108101, 33058969, 112309213, 34853527, 38402643, 34123176, 186803240, 129085026, 15973179, 13727910, 256183468, 173733713, 31138803, 3563493, 475369, 93764017, 108613338, 15713440, 17345006, 81207582, 53126419, 53885829, 80169212, 16719649, 80262813, 123510253, 40700591, 47826253, 59269446, 113581298, 373039643, 143431268, 115589079, 64011829, 33303613, 56343639, 35425, 94653077, 7104067, 70012336, 32025584, 3592261, 127505814, 95305335, 5128645, 65461375, 108157217, 53432060, 29853023, 36065420, 64197903, 17927233, 601295, 161885417, 41845271, 74758087, 9313660, 107688442, 16296790, 21591214, 89670942, 7402481, 21826662, 5241615, 23695571, 28548415, 29853733, 208104532, 64632567, 144060958, 52186435, 47585610, 39702178]",tellingpeopleaboutscreeningprogrammesandscreeningtestresultshowcanwedobetter,[u'2000']
