used_keys,combination
"('doi', 'pages', 'title', 'year')","[[""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'title'"", ""'year'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('author', 'title', 'year')","[[""'author'"", ""'title'"", ""'year'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('pages', 'title', 'year')","[[""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('author', 'journal', 'number')",[]
"('doi', 'journal', 'year')","[[""'doi'"", ''], [""'doi'"", ""'year'""]]"
"('author', 'doi', 'journal')","[[""'doi'"", ''], [""'author'"", ""'doi'""]]"
"('author', 'journal', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('author', 'journal', 'number', 'pages', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'"", ""'year'""], [""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'"", ""'year'""], [""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'author'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""], [""'title'"", '']]"
"('doi', 'number', 'year')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""]]"
"('journal', 'number', 'pages', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""], [""'title'"", '']]"
"('author', 'doi', 'year')","[[""'doi'"", ''], [""'author'"", ""'doi'""], [""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""]]"
"('doi', 'pages', 'year')","[[""'doi'"", ''], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""]]"
"('doi', 'journal')","[[""'doi'"", '']]"
"('author', 'doi', 'journal', 'number', 'pages')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'""]]"
"('author', 'doi', 'journal', 'number', 'year')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'number'"", ""'year'""], [""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'author'"", ""'number'"", ""'year'""]]"
"('journal', 'year')",[]
"('author', 'pages', 'title', 'year')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'year'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('author', 'pages')","[[""'author'"", ""'pages'""]]"
"('author', 'number', 'pages', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'"", ""'year'""], [""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'"", ""'year'""], [""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'author'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""], [""'title'"", '']]"
"('number', 'year')",[]
"('author', 'doi', 'journal', 'number', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'author'"", ""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'""], [""'number'"", ""'title'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('doi', 'title')","[[""'doi'"", ''], [""'doi'"", ""'title'""], [""'title'"", '']]"
"('author', 'doi', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'doi'"", ''], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'pages'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
