used_keys,combination
"('author', 'journal', 'pages', 'title', 'year')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'author'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'year'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('author', 'doi', 'number', 'pages', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'"", ""'year'""], [""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'"", ""'year'""], [""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'author'"", ""'doi'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'author'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""], [""'title'"", '']]"
"('author', 'doi', 'pages', 'title', 'year')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'year'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('journal', 'number', 'pages', 'year')","[[""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'number'"", ""'pages'"", ""'year'""]]"
"('doi', 'year')","[[""'doi'"", ''], [""'doi'"", ""'year'""]]"
"('author', 'journal', 'number', 'year')","[[""'author'"", ""'journal'"", ""'number'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'author'"", ""'number'"", ""'year'""]]"
"('journal', 'number', 'title')","[[""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'number'"", ""'title'""], [""'title'"", '']]"
"('author', 'journal', 'title', 'year')","[[""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'title'"", ""'year'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('doi', 'journal', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'doi'"", ''], [""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'pages'""], [""'journal'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'title'"", '']]"
"('number', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('author', 'doi', 'journal', 'number')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""]]"
"('author', 'doi', 'journal', 'number', 'title')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'author'"", ""'doi'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'number'"", ""'title'""], [""'number'"", ""'title'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('journal', 'number')",[]
"('author', 'number', 'title')","[[""'author'"", ""'number'"", ""'title'""], [""'number'"", ""'title'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('journal',)",[]
"('author', 'doi', 'journal', 'number', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'author'"", ""'doi'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'year'""], [""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'title'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'number'"", ""'year'""], [""'title'"", '']]"
"('journal', 'number', 'year')",[]
"('author', 'number', 'pages')","[[""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'""]]"
"('doi',)","[[""'doi'"", '']]"
"('doi', 'title', 'year')","[[""'doi'"", ''], [""'doi'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'title'"", ""'year'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('journal', 'pages', 'year')","[[""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""]]"
"('author', 'doi', 'number')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""]]"
"('doi', 'journal', 'number', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('author', 'doi', 'title')","[[""'doi'"", ''], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'title'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('doi', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'doi'"", ''], [""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'pages'""], [""'title'"", '']]"
"('journal', 'pages', 'title', 'year')","[[""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('doi', 'number', 'pages', 'year')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""]]"
"('author', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('doi', 'journal', 'number', 'pages')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'pages'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""]]"
"('journal', 'title', 'year')","[[""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('author',)",[]
"('pages',)",[]
"('doi', 'journal', 'number')","[[""'doi'"", ''], [""'doi'"", ""'number'""]]"
"('author', 'doi', 'journal', 'title')","[[""'doi'"", ''], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'title'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('number', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'title'""], [""'title'"", '']]"
"('doi', 'journal', 'number', 'title')","[[""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'number'"", ""'title'""], [""'title'"", '']]"
"('author', 'doi', 'journal', 'number', 'pages', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'"", ""'year'""], [""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'"", ""'year'""], [""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'author'"", ""'doi'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'author'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""], [""'title'"", '']]"
"('author', 'journal', 'number', 'pages', 'year')","[[""'author'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'author'"", ""'pages'""], [""'author'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""]]"
"('doi', 'number', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('author', 'doi', 'pages', 'year')","[[""'doi'"", ''], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'pages'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'author'"", ""'pages'""]]"
"('author', 'doi', 'journal', 'pages', 'year')","[[""'doi'"", ''], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'pages'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'author'"", ""'pages'""]]"
"('number', 'pages', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""], [""'title'"", '']]"
"('author', 'doi')","[[""'doi'"", ''], [""'author'"", ""'doi'""]]"
"('doi', 'pages')","[[""'doi'"", ''], [""'doi'"", ""'pages'""]]"
"('author', 'journal', 'year')","[[""'author'"", ""'journal'"", ""'year'""]]"
"('journal', 'number', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'number'"", ""'title'""], [""'title'"", '']]"
"('author', 'journal', 'number', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'number'"", ""'title'""], [""'author'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'title'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'number'"", ""'year'""], [""'title'"", '']]"
"('journal', 'pages')","[[""'journal'"", ""'pages'""]]"
"('author', 'doi', 'journal', 'pages', 'title', 'year')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'author'"", ""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'""], [""'author'"", ""'title'"", ""'year'""], [""'author'"", ""'pages'"", ""'year'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('doi', 'journal', 'pages')","[[""'doi'"", ''], [""'doi'"", ""'pages'""], [""'journal'"", ""'pages'""]]"
"('doi', 'journal', 'number', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ""'pages'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'number'"", ""'title'""], [""'title'"", '']]"
"('doi', 'number', 'pages', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""], [""'title'"", '']]"
"('doi', 'journal', 'number', 'pages', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'number'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'pages'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'title'""], [""'journal'"", ""'title'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'year'""], [""'journal'"", ""'number'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'journal'"", ""'number'"", ""'pages'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""], [""'title'"", '']]"
"('author', 'year')",[]
"('pages', 'year')",[]
