Id_ref,author_name,hash_values,norm_title_str,years
ID107,"[u'dosh', u'paul']","[4198534, 2769035, 33102106, 10234860, 17374558, 5027707, 146747240, 93527003, 61023012, 94182288, 2499460, 27973288, 134408062, 14988783, 50639032, 11399919, 87480930, 3827952, 78278374, 23406520, 168780352, 70584888, 114965219, 24954327, 12028224, 9272005, 86868414, 39787153, 210852150, 25267763, 4102344, 34853527, 82055534, 82408243, 720386, 68090868, 17970258, 65369212, 25802705, 2585871, 109962550, 61141720, 35909622, 29617591, 29840793, 23420036, 72259818, 22171605, 100069722, 26214578, 179570034, 60283280, 105786754, 24358128, 40700591, 26671547, 129061750, 19127080, 22890670, 163910804, 85848295, 17277961, 38892647, 63696882, 18391119, 119805872, 31595693, 21534965, 9915347, 191040869, 27700614, 10423003, 5128645, 6183713, 22574024, 65379229, 50153653, 42689297, 56194869, 43006465, 20170017, 73805795, 25239736, 2557953, 81029674, 107688442, 18054069, 5971916, 5772207, 39922520, 11652024, 36166584, 31463880, 13477685, 7210334, 61520887, 108797417, 3773416, 27373117, 34675153, 22440600]",tacticalinnovationdemocraticgovernanceandmixedmotivespopularmovementresilienceinperuandecuador,[u'2009']
ID108,"[u'ford', u'jd', u'ford', u'lw']","[42195780, 67041070, 25391853, 318751473, 131854864, 115611762, 136464421, 4889722, 42766408, 6698837, 109750349, 6775256, 70752584, 54446829, 25543124, 3580234, 74974086, 102492254, 82582261, 26722488, 13468266, 64797695, 123782216, 182415197, 9976022, 103524685, 14324541, 153774110, 30124218, 93884450, 79789489, 101487686, 16690930, 171799070, 30624788, 85189145, 72632008, 27293869, 15498386, 230025812, 42305706, 3563493, 121830530, 4733220, 18889069, 91961732, 17345006, 39562356, 161750314, 16848212, 81779108, 32407541, 19023757, 24358128, 63825966, 47826253, 26320493, 2022337, 6129609, 143431268, 17872941, 145703657, 38892647, 24620974, 12947146, 18726290, 138283903, 98081714, 65387350, 79498697, 37261770, 142887545, 59882721, 71983698, 33167413, 12600155, 224698489, 128479857, 7613146, 30120155, 48397888, 52329540, 62437476, 47757071, 16863955, 58002692, 16296790, 122993400, 32624155, 89944589, 11937896, 11428654, 87450611, 109343775, 29853733, 10384991, 90883846, 40075786, 12521982, 34704665, 39702178]",conversationalprofilesatoolforalteringtheconversationalpatternofchangemanagers,[u'2008']
ID109,[u'vernonsw'],"[17671448, 103699055, 70084778, 317817607, 134735613, 34261969, 328118731, 26690916, 109444576, 41255704, 131505470, 29097949, 145123861, 48149773, 59276659, 26276372, 72909377, 229417206, 27344745, 167253815, 150595371, 65506437, 81326629, 222885839, 92829412, 103524685, 227546427, 29738057, 73703078, 33058969, 2747919, 356011144, 146586119, 263830175, 131037531, 141301958, 47538756, 65369212, 389362943, 282926834, 8731927, 131954812, 38020319, 36771302, 89315990, 176530465, 6328019, 117616756, 133626564, 31799435, 304775155, 48009582, 393623375, 24358128, 25690442, 47826253, 309083047, 169664368, 159922987, 95641879, 139572060, 57471527, 62817067, 122655247, 89646593, 223946066, 31595693, 217568718, 45115745, 93731508, 129179360, 36695512, 2194361, 24906987, 888766, 2848750, 229805438, 86521572, 156305590, 30120155, 194512705, 12925846, 812870, 99360419, 108480826, 40863493, 89092110, 170654704, 46574709, 164270909, 13330470, 121222430, 60400287, 49083783, 72383130, 100171441, 73929118, 21773660, 18361492, 552108801, 286402537]",participationincolorectalcancerscreening,[u'1997']
ID11,"[u'festinger', u'l']","[30905367, 403947672, 363896924, 433269281, 129259464, 378011008, 154105015, 14709359, 172185373, 126085204, 29436663, 207812742, 66071916, 83183504, 194860531, 29358132, 80830609, 291202048, 55219034, 153488381, 331077784, 98926546, 18322167, 308047321, 12028224, 217586234, 85979667, 207362441, 207479770, 36300313, 308335669, 52095633, 23596468, 453858899, 720386, 119509994, 80292269, 73045275, 39729099, 405588500, 273896687, 8934718, 397859852, 11892326, 274673424, 702489, 3403107, 6392239, 135093957, 149205882, 549542176, 204964875, 19023757, 57541159, 101120813, 379822902, 89216386, 122326852, 58595112, 222426984, 252138156, 47857755, 96874724, 113251930, 31221068, 60746069, 31595693, 95779979, 18781869, 124056937, 29412817, 237426034, 31349563, 324812309, 112014461, 87380380, 123490257, 362229017, 128833156, 96002656, 20170017, 5075701, 324307236, 10952286, 108480826, 95374622, 71523822, 333530228, 370036252, 226889764, 34098423, 254206969, 216243048, 121559151, 323889721, 420482857, 138692600, 7142922, 160365126, 6897806, 95707419]",atheoryofcognitivedissonance,[u'1957']
ID110,"[u'lin', u'n']","[17671448, 73159759, 61070122, 54827463, 17318751, 488153192, 321209931, 4889722, 99015401, 94182288, 83953139, 29097949, 102700308, 136131633, 21457087, 3580234, 144380086, 478994705, 142776400, 36824710, 222445199, 172066966, 15220693, 41875496, 424633759, 980520666, 489029549, 165768462, 203148275, 23994127, 142736828, 169996569, 66553215, 201773507, 131037531, 69303297, 115832899, 111851581, 19009370, 120284748, 25310756, 23730238, 277355163, 54238750, 89315990, 230983906, 517150940, 166081654, 108133337, 44713181, 3385693, 172302340, 79553439, 210281995, 40700591, 137469052, 72815953, 231714514, 84969934, 210408738, 135471474, 231701629, 171006492, 27084449, 81250955, 117252105, 86637140, 92510607, 199207642, 24710668, 122331948, 48651758, 630628564, 109856539, 26582055, 4858124, 405530933, 135187171, 64197903, 273236893, 106139817, 35950743, 504484188, 50190076, 243634639, 107688442, 192167963, 450457038, 192893728, 373717558, 97071421, 197461987, 155517667, 269958023, 77240198, 121130230, 84111980, 26365716, 160365126, 408172362, 338803948]",theinvisiblehandofsocialcapital,[u'2003']
ID111,"[u'weinrich', u'sp', u'weinrich', u'mc', u'atwood', u'j']","[189773414, 57455397, 27259416, 57627468, 6693115, 79645911, 105246563, 14709359, 223354338, 82193479, 54208302, 13397848, 8701684, 150725630, 123161873, 30420841, 36843235, 3928091, 14921546, 9491756, 13468266, 65506437, 11919839, 32372110, 105358877, 200483274, 110869595, 30383413, 30124218, 16818975, 54030653, 23726287, 146586119, 65979886, 18270836, 111961836, 24507123, 11425808, 50787627, 52975592, 179163436, 108236287, 16307340, 36771302, 55218058, 58754631, 17345006, 14393418, 2759065, 150396293, 85359558, 51349925, 80206625, 32898181, 43554402, 9387194, 53914692, 50712161, 23730607, 32333336, 139572060, 7009809, 333812505, 46333018, 50981065, 36362193, 84734657, 66959589, 18094112, 91971151, 41919448, 2744998, 40412548, 24906987, 32129913, 72128230, 119965993, 14002706, 67312760, 17927233, 16423864, 1318019, 7745633, 22324548, 32494687, 111197161, 83016758, 221870762, 68720090, 13364126, 92774215, 17045023, 66903930, 57013705, 114988616, 69117999, 6705133, 99615453, 13409004, 106752209, 227044724]",predictorsoffaecalbloodscreeningamongoldersocioeconomicallydisadvantagedamericans,[u'1998']
ID112,"[u'schein', u'eh']","[77449877, 163664129, 48957000, 42185866, 241995410, 127462460, 126693155, 84653436, 13492110, 94182288, 35420714, 21061127, 92566619, 136131633, 87957527, 12923789, 80830609, 16400943, 82582261, 45514302, 122742687, 152168077, 43166536, 24954327, 124552841, 58572353, 539508186, 120768442, 30124218, 16818975, 101376366, 285284350, 67668222, 122198696, 45965972, 15216666, 58037536, 48838668, 125402283, 45457566, 67096525, 72234798, 54099563, 104806017, 88547163, 25047391, 8378964, 73751699, 39831940, 181149905, 39582233, 165493218, 38468327, 15098976, 58958129, 224256631, 19983319, 132247958, 92931202, 116653158, 186087136, 87478833, 53741957, 173991348, 140608671, 250963663, 185958054, 221159631, 589574, 77882398, 1658362, 52471097, 70855134, 24906987, 100642205, 48842037, 15432982, 64440372, 67459617, 14727244, 106139817, 5075701, 217973329, 92653099, 226605227, 107688442, 16296790, 191491446, 147290202, 24570166, 13330470, 14234212, 56274507, 63680657, 48098937, 126359346, 6705133, 12372030, 52186435, 35168392, 48706191]",processconsultationitsroleinorganizationdevelopment,[u'1988']
ID113,"[u'stacey', u'rd']","[102358662, 96824670, 155656271, 44963777, 451930859, 80866651, 24793916, 8750085, 273725763, 182239917, 183395266, 166796921, 326449777, 171759829, 47146006, 358454090, 112718897, 196155199, 110442586, 544203072, 122742687, 58424594, 89053818, 375288391, 67697411, 63330220, 84752525, 28730576, 126842487, 177850432, 68064917, 65600548, 370616953, 127269154, 327903338, 311465764, 32389227, 82175259, 151349474, 368858362, 8611146, 260445069, 29845105, 4733220, 60442033, 25047391, 692404572, 66412326, 1452536, 102321850, 17905080, 212523144, 342037241, 297123806, 40700591, 157118024, 19983319, 50837075, 6129609, 65237679, 89196088, 22467737, 1666953, 110778409, 785497, 310003364, 240924287, 33690206, 32025584, 62700238, 85579264, 156755660, 317471063, 121123741, 247124214, 323797020, 262060016, 85682322, 64197903, 14727244, 142728865, 45611320, 62437476, 151292928, 101323329, 42122336, 16296790, 342348065, 192893728, 316277362, 150898825, 14674918, 64309210, 361178522, 37434686, 180968119, 67564725, 82511301, 23109141, 34704665, 9270915]",complexityandgroupprocesses,[u'2007']
ID114,"[u'loring', u'p']","[489589343, 193437260, 243181573, 19519088, 70028465, 1856232, 201965680, 130457687, 317636957, 84642430, 425763754, 254965254, 327110909, 16406517, 61317174, 401024725, 61462015, 83153088, 621771921, 30007277, 50529194, 669423518, 23556051, 55563597, 1309495342, 46164963, 354176364, 64239592, 115723589, 198992561, 141868612, 220616049, 70459411, 32583796, 641488775, 26939739, 72314912, 62390428, 74131977, 122834293, 252091111, 18905671, 47801588, 104903940, 7628728, 159411828, 290033314, 4221545, 318314763, 67197313, 680576, 179599794, 116734123, 12640631, 19066193, 308448798, 60294475, 171447988, 142653862, 1232333213, 27403119, 147950086, 142110475, 60963517, 111485730, 163175835, 486495874, 463180352, 70749175, 38151628, 624251321, 633764785, 181367677, 199709228, 210985877, 134575911, 82270554, 186495192, 4311414, 249470855, 336552671, 373667747, 43752772, 239250980, 52898659, 87405457, 38981265, 113624829, 245314939, 160979992, 179744, 97940683, 19321751, 500553236, 116160263, 211806937, 13986920, 26422566, 459115260, 189897660, 241627645]",fromjohnnytochomsky,[u'2008']
ID115,"[u'beynnon', u'bd', u'ettlinger', u'cf', u'johnson', u'rj']","[31224997, 17758156, 196080000, 9033372, 164152776, 34261969, 155713487, 4889722, 66170419, 6698837, 2813959, 77336836, 9570455, 64501544, 73952258, 3580234, 77646929, 32232188, 64434883, 135381956, 64927340, 35965273, 87789704, 142617819, 113429244, 348157022, 68128571, 158148372, 61140489, 80506736, 281517813, 34853527, 75892944, 60615499, 67023173, 216514130, 115832899, 101098918, 178936354, 37254687, 74962841, 39507263, 21759114, 54238750, 78761892, 95320548, 8378964, 39562356, 50016697, 16848212, 41340088, 101586986, 47919981, 7735968, 3031231, 47826253, 58292108, 95462364, 64527804, 58615255, 152880737, 104340706, 109118995, 102787756, 117547714, 118100742, 14704381, 150077118, 56460963, 114959498, 83706768, 193225287, 70277313, 60559820, 17084134, 30461813, 42434808, 57318280, 7613146, 76627220, 196068252, 20708843, 107543275, 92653099, 139406133, 147528045, 192922646, 606260, 119443174, 101707321, 99178340, 14234212, 18667440, 49083783, 12164206, 100171441, 32941570, 21773660, 118946742, 8965547, 26969424]",epidemiologyandmechanismsofaclinjuryinalpineskiing,[u'2007']
